운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2020-05-07,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-05-14,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-05-14,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-05-21,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-05-21,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-05-28,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-05-28,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-06-04,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-06-04,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-06-11,하,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2020-06-11,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-06-18,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2020-06-18,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-06-25,하,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2020-06-25,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-06-28,하,무궁화,임시,퇴계원,10:00:00,연무대,14:30:00,건설,경부선,일요일
2020-06-28,하,새마을,임시,퇴계원,08:08:00,연무대,12:05:00,건설,경부선,일요일
2020-07-02,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2020-07-02,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-07-02,하,새마을,임시,퇴계원,09:55:00,연무대,14:30:00,건설,경부선,목요일
2020-07-09,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2020-07-09,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-07-16,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-07-16,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-07-23,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-07-23,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-07-30,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2020-07-30,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-07-31,상,새마을,임시,연무대,14:05:00,퇴계원,18:22:01,건설,경부선,금요일
2020-08-06,상,새마을,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-08-06,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-08-13,상,새마을,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
